rank_week_filename,url_link
WR 2014-09-04 (Week 36).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-09-04 (Week 36).xlsx
WR 2014-09-11 (Week 37).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-09-11 (Week 37).xlsx
WR 2014-09-18 (Week 38).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-09-18 (Week 38).xlsx
WR 2014-09-25 (Week 39).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-09-25 (Week 39).xlsx
WR 2014-10-02 (Week 40).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-10-02 (Week 40).xlsx
WR 2014-10-09 (Week 41).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-10-09 (Week 41).xlsx
WR 2014-10-16 (Week 42).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-10-16 (Week 42).xlsx
WR 2014-10-23 (Week 43).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-10-23 (Week 43).xlsx
WR 2014-10-30 (Week 44).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-10-30 (Week 44).xlsx
WR 2014-11-06 (Week 45).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-11-06 (Week 45).xlsx
WR 2014-11-13 (Week 46).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-11-13 (Week 46).xlsx
WR 2014-11-20 (Week 47).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-11-20 (Week 47).xlsx
WR 2014-11-27 (Week 48).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-11-27 (Week 48).xlsx
WR 2014-12-04 (Week 49).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-12-04 (Week 49).xlsx
WR 2014-12-11 (Week 50).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-12-11 (Week 50).xlsx
WR 2014-12-18 (Week 51).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-12-18 (Week 51).xlsx
WR 2014-12-24 (Week 52).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-12-24 (Week 52).xlsx
WR 2015-01-02 (Week 01).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-01-02 (Week 01).xlsx
WR 2015-01-08 (Week 02).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-01-08 (Week 02).xlsx
WR 2015-01-15 (Week 03).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-01-15 (Week 03).xlsx
WR 2015-01-22 (Week 04).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-01-22 (Week 04).xlsx
WR 2015-01-29 (Week 05).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-01-29 (Week 05).xlsx
WR 2015-02-05 (Week 06).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-02-05 (Week 06).xlsx
WR 2015-02-12 (Week 07).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-02-12 (Week 07).xlsx
WR 2015-02-18 (Week 08).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-02-18 (Week 08).xlsx
WR 2015-02-26 (Week 09).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-02-26 (Week 09).xlsx
WR 2015-03-05 (Week 10).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-03-05 (Week 10).xlsx
WR 2015-03-12 (Week 11).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-03-12 (Week 11).xlsx
WR 2015-03-19 (Week 12).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/630/WR 2015-03-19 (Week 12).xlsx
